SEBI REPORT AS ON Reporting date 01-SEP-2026,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,14592393.27,
2,Fresh Exposure taken during the day,463352.99,
3,Exposure liquidated during the day,369883.63,
4,Net scripwise outstanding at the end of the day,14685862.63,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,297457,604.54
360ONE,360 ONE WAM LIMITED,557676,6435.38
3BBLACKBIO,3B BLACKBIO DX LTD.,25493,306.06
3IINFOLTD,3I INFOTECH LIMITED,5504,2.11
3MINDIA,3M INDIA LIMITED,9554,3295.07
5PAISA,5PAISA CAPITAL LIMITED,118644,457.75
63MOONS,63 MOONS TECHNOLOGIES LTD,859403,6096.38
AAATECH,AAA TECHNOLOGIES LIMITED,3000,2.91
AADHARHFC,AADHAR HOUSING FINANCE L,960979,4859.10
AARON,AARON INDUSTRIES LIMITED,846,1.50
AARTECH,AARTECH SOLONICS LIMITED,11,0.01
AARTIDRUGS,AARTI DRUGS LTD.,796871,3363.11
AARTIIND,AARTI INDUSTRIES LTD,2070970,10313.59
AARTIPHARM,AARTI PHARMALABS LIMITED,747555,6007.04
AARTISURF,AARTI SURFACTANTS LIMITED,1758,10.14
AARVI,AARVI ENCON LIMITED,1725,2.58
AASTHA,AASTHA SPINTEX LIMITED,39665,31.15
AAVAS,AAVAS FINANCIERS LIMITED,237869,3500.42
ABB,ABB INDIA LIMITED,263741,19732.22
ABBOTINDIA,ABBOTT INDIA LIMITED,21004,5821.86
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,3677961,13824.44
ABCOTS,A B COTSPIN INDIA LIMITED,110842,273.94
ABDL,ALLIED BLEND N DISTILS L,1194406,6889.94
ABFRL,ADITYA BIRLA FASHION & RT,36200053,35453.24
ABGSEC,BIRLASLAMC - ABGSEC,9,0.01
ABINFRA,A B INFRABUILD LIMITED,250050,33.93
ABLBL,ADITYA BIRLA LIFES BRAN L,10554882,13102.14
ABREL,ADITYA BIRLA REAL EST LTD,626443,9200.50
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,404596,4354.07
ABSLBANETF,BIRLASLAMC - ABSLBANETF,23012,13.38
ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,21,0.21
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,152512,116.57
ABSLPSE,BIRLASLAMC-ABSLPSE,262018,27.47
ACC,ACC LIMITED,892794,13642.85
ACCELYA,ACCELYA SOLN INDIA LTD,48723,632.69
ACE,ACTION CONST EQUIP LTD,760541,8180.79
ACI,ARCHEAN CHEMICAL IND LTD,1203291,6554.42
ACMESOLAR,ACME SOLAR HOLDINGS LTD,1847987,6961.61
ACSTECH,A C S TECHNOLOGIES LTD.,175,0.09
ACUTAAS,ACUTAAS CHEMICALS LIMITED,353887,10580.19
ADANIENSOL,ADANI ENERGY SOLUTION LTD,2107873,31371.95
ADANIENT,ADANI ENTERPRISES LIMITED,1534391,43805.42
ADANIGREEN,ADANI GREEN ENERGY LTD,2517985,34342.46
ADANIPORTS,ADANI PORT & SEZ LTD,2106510,35418.98
ADANIPOWER,ADANI POWER LTD,46428604,95721.50
ADFFOODS,ADF FOODS LIMITED,341436,996.20
ADOR,ADOR WELDING LTD,84406,1217.75
ADSL,ALLIED DIGITAL SERV. LTD,325137,468.16
ADVAIT,ADVAIT ENRGY TRANSITION L,85161,1843.16
ADVANCE,ADVANCE AGROLIFE LIMITED,605119,765.96
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,14429,8.00
ADVENTHTL,ADVENT HOTELS INTERNATI L,415590,669.86
ADVENZYMES,ADVANCED ENZYME TECH LTD,961198,3177.18
AEGISLOG,AEGIS LOGISTICS LIMITED,584119,6361.70
AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,2440956,6797.25
AEQUS,AEQUS LIMITED,4338939,10223.20
AEROENTER,AEROFLEX ENTERPRISES LTD,1503181,1879.93
AEROFLEX,AEROFLEX INDUSTRIES LTD,1488297,6183.53
AEROPLANE,AMIR CHAND JAG KUM (E) L,1009544,1808.75
AETHER,AETHER INDUSTRIES LIMITED,401099,5789.52
AFCONS,AFCONS INFRASTRUCTURE LTD,1869308,5982.84
AFFLE,AFFLE 3I LIMITED,310925,5141.55
AFFORDABLE,AFFORD ROBO & AUTO LTD,500,1.39
AFIL,AKME FINTRADE (INDIA) LTD,806291,77.63
AFSL,ABANS FINANCIAL SRVCS LTD,9066,22.11
AGARIND,AGARWAL INDS CORP LTD.,190467,1055.71
AGARWALEYE,DR AGARWALS HEALTH CARE L,143596,713.34
AGI,AGI GREENPAC LIMITED,506724,3713.59
AGIIL,AGI INFRA LIMITED,2113500,6474.03
AGL,ALLCARGO GLOBAL LIMITED,1256963,176.04
AHCL,ANLON HEALTHCARE LIMITED,6603098,992.14
AHLUCONT,AHLUWALIA CONT IND LTD,244908,1964.47
AIAENG,AIA ENGINEERING LIMITED,77432,3482.74
AIIL,AUTHUM INVEST & INFRA LTD,715002,3874.18
AJANTPHARM,AJANTA PHARMA LIMITED,51015,1761.19
AJAXENGG,AJAX ENGINEERING LIMITED,142681,839.43
AJMERA,AJMERA REALTY & INF I LTD,1477184,1981.32
AJOONI,AJOONI BIOTECH LIMITED,22000,0.98
AKUMS,AKUMS DRUGS AND PHARMA L,581043,3955.19
ALANKIT,ALANKIT LIMITED,44228,4.53
ALBERTDAVD,ALBERT DAVID LIMITED,3995,32.67
ALEMBICLTD,ALEMBIC LIMITED,1310307,1309.17
ALGOQUANT,ALGOQUANT FINTECH LIMITED,1278783,824.11
ALICON,ALICON CASTALLOY LIMITED,51881,384.02
ALIVUS,ALIVUS LIFE SCIENCES LTD,164945,2077.74
ALKEM,ALKEM LABORATORIES LTD.,50408,2805.60
ALKYLAMINE,ALKYL AMINES CHEM. LTD,237229,4556.13
ALLCARGO,ALLCARGO LOGISTICS LTD,11623509,1398.47
ALLDIGI,ALLDIGI TECH LIMITED,37952,277.88
ALLTIME,ALL TIME PLASTICS LIMITED,233443,566.69
ALOKINDS,ALOK INDUSTRIES LIMITED,35244916,4399.90
ALPHA,KOTAKMAMC - KOTAKALPHA,3865788,1986.61
ALPHAETF,MIRAEAMC - ALPHAETF,882876,233.70
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,50,0.14
ALPINETEX,ALPINE TEXWORLD LIMITED,715,0.37
ALPL30IETF,ICICIPRAMC - ICICIALPLV,487410,141.13
AMAGI,AMAGI MEDIA LABS LIMITED,613812,3749.24
AMANTA,AMANTA HEALTHCARE LIMITED,212,0.30
AMBALALSA,AMBALAL SARABHAI ENT L,200,0.06
AMBER,AMBER ENTERPRISES (I) LTD,323938,25038.24
AMBIKCO,AMBIKA COTTON MILL LTD.,38801,645.64
AMBUJACEM,AMBUJA CEMENTS LTD,5990626,27182.00
AMNPLST,AMINES & PLASTICIZERS LTD,950,1.89
AMRUTANJAN,AMRUTAJAN HEALTH LTD,133396,752.09
ANANDRATHI,ANAND RATHI WEALTH LTD,880674,16320.28
ANANTRAJ,ANANT RAJ LIMITED,11540643,68613.45
ANDHRAPAP,ANDHRA PAPER LIMITED,561752,371.62
ANDHRSUGAR,ANDHRA SUGARS LTD,1028865,1010.25
ANDREWYU,ANDREW YULE & CO. LTD.,7869,2.18
ANGELONE,ANGEL ONE LIMITED,8844306,27652.82
ANTELOPUS,ANTELOPUS SELAN ENRGY LTD,130717,1047.93
ANTHEM,ANTHEM BIOSCIENCES LTD,624845,5378.67
ANUHPHR,ANUH PHARMA LIMITED,43619,35.19
ANUP,THE ANUP ENGINEERING LTD,107464,2235.37
ANURAS,ANUPAM RASAYAN INDIA LTD,2942959,35827.56
AONEGOLD,AONEAMC - AONEGOLD,145503,21.48
AONELIQUID,AONEAMC - AONELIQUID,49,0.52
AONENIFTY,AONEAMC - AONENIFTY,208179,20.95
AONESILVER,AONEAMC - AONESILVER,9496,0.85
AONETMMQ50,AONEAMC - AONETMMQ50,183522,18.60
AONETOTAL,AONEAMC - AONETOTAL,365320,42.56
APARINDS,APAR INDUSTRIES LTD.,55051,8219.07
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,318055,1993.26
APEX,APEX FROZEN FOODS LIMITED,511705,2125.89
APLAPOLLO,APL APOLLO TUBES LTD,203901,4147.23
APLLTD,ALEMBIC PHARMA LTD,194316,1720.54
APOLLO,APOLLO MICRO SYSTEMS LTD,8844091,34080.90
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,110806,9595.88
APOLLOPIPE,APOLLO PIPES LIMITED,467277,2563.21
APOLLOTYRE,APOLLO TYRES LTD,1422431,6488.03
APOLSINHOT,APOLLO SINDOORI HOTEL LTD,81,1.71
APTECHT,APTECH LIMITED,11332,13.87
APTUS,APTUS VALUE HSG FIN I LTD,2546332,6880.43
AQYLON,AQYLON NEXUS LIMITED,4205780,1086.96
ARDEE,ARDEE INDUSTRIES LIMITED,93495,53.26
ARE&M,AMARA RAJA ENERGY MOB LTD,1679515,15794.32
ARFIN,ARFIN INDIA LIMITED,591810,543.94
ARIES,ARIES AGRO LTD.,11072,49.91
ARIHANTCAP,ARIHANT CAPITAL MKTS LTD,941701,795.10
ARIHANTSUP,ARIHANT SUPERSTRUCT LTD,154282,584.03
